id,name,img,card_text,flavor_text,type,class,rarity,set,race,raw_attributes,is_battlecry_card,is_divineshield_card,is_rush_card,is_deathrattle_card,is_taunt_card,is_combo_card,is_inspire_card,is_stealth_card,is_charge_card,is_overload_card,is_lifesteal_card,is_freeze_card,is_discover_card,is_windfury_card,is_echo_card,is_secret_card,cost,attack,health
90145,"Shirvallah, the Tiger",https://cards.hearthpwn.com/enUS/TRL_300.png?142295,"Divine Shield, Rush, Lifesteal Costs (1) less for each Manayou've spent on spells.","On bended knee Thekal placed his weapon upon Shirvallah’s altar, whereupon she slowly knocked it off with her paw.",minion, paladin,legendary,rastakhan's rumble,beast,"{""Divine Shield"",Rush,Lifesteal}",False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,25,7,5
42049,Arcane Giant,https://cards.hearthpwn.com/enUS/KAR_711.png?142295,Costs (1) less for each spellyou've cast this game.,"Claims to be drawn to Karazhan because of the ley lines. Actually, just loves Moroes’ cooking.",minion,,epic,one night in karazhan,,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,8,8
475011,Clockwork Giant,https://cards.hearthpwn.com/enUS/CORE_GVG_121.png?142295,Costs (1) less for each card in your opponent's hand.,He and Mountain Giant don't get along.,minion,,epic,removed from core,mechanical,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,8,8
264,Mountain Giant,https://cards.hearthpwn.com/enUS/EX1_105.png?142295,Costs (1) less for each other card in your hand.,His mother said that he was just big boned.,minion,,epic,legacy,elemental,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,8,8
31110,C'Thun,https://cards.hearthpwn.com/enUS/OG_280.png?142295,Battlecry: Deal damage equal to this minion's Attack randomly split among all enemies.,C'Thun's least favorite Hearthstone card: Eye for an Eye.,minion,,legendary,whispers of the old gods,,{Battlecry:},True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,6,6
474,Deathwing,https://cards.hearthpwn.com/enUS/NEW1_030.png?142295,Battlecry: Destroy all other minions and discard your hand.,"Once a noble dragon known as Neltharion, Deathwing lost his mind and shattered Azeroth before finally being defeated. Daddy issues?",minion,,legendary,legacy,dragon,{Battlecry:},True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,12,12
33177,"Deathwing, Dragonlord",https://cards.hearthpwn.com/enUS/OG_317.png?142295,Deathrattle: Put all Dragons from your hand into the battlefield.,"To his credit, Deathwing really took to heart the feedback he was receiving that he needed to be ""more of a team player"".",minion,,legendary,whispers of the old gods,dragon,{Deathrattle:},False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,10,12,12
94,Molten Giant,https://cards.hearthpwn.com/enUS/EX1_620.png?142295,Costs (1) less for each damage your hero has taken.,He gets terrible heartburn. BECAUSE HE IS FULL OF LAVA.,minion,,epic,legacy,elemental,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,8,8
90186,Grave Horror,https://cards.hearthpwn.com/enUS/TRL_408.png?142295,TauntCosts (1) less for each spellyou've cast this game.,"Trolls can regenerate lost limbs, but this is what they do with the leftovers.",minion, priest,rare,rastakhan's rumble,,{Taunt},False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12,7,8
62918,Snowfury Giant,https://cards.hearthpwn.com/enUS/ICC_090.png?142295,Costs (1) less for each Mana Crystal you've Overloaded this game.,This minion goes all the way to 11!,minion, shaman,epic,knights of the frozen throne,elemental,"{Overloaded,Overload}",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11,8,8
22325,Aviana,https://cards.hearthpwn.com/enUS/AT_045.png?142295,Your minions cost (1).,"Call her ""Tweety"". She'll find it real funny. I PROMISE.",minion, druid,legendary,the grand tournament,,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10,5,5
