id,name,img,card_text,syn_minion,syn_spell,syn_weapon,syn_demon,syn_beast,syn_elemental,syn_pirate,syn_murloc,syn_mech,syn_dragon,syn_quillboar,syn_totem,syn_battlecry,syn_divine,syn_rush,syn_deathrattle,syn_taunt,syn_combo,syn_inspire,syn_stealth,syn_charge,syn_overload,syn_lifesteal,syn_freeze,syn_discover,syn_windfury,syn_echo,syn_secret,type,n_minion,n_spell,n_weapon,class,rarity,set,race,race_demon,race_beast,race_elemental,race_pirate,race_murloc,race_mech,race_dragon,race_quillboar,race_totem,raw_attributes,is_battlecry_card,is_divineshield_card,is_rush_card,is_deathrattle_card,is_taunt_card,is_combo_card,is_inspire_card,is_stealth_card,is_charge_card,is_overload_card,is_lifesteal_card,is_freeze_card,is_discover_card,is_windfury_card,is_echo_card,is_secret_card,cost,attack,health
49702,Raza the Chained,https://cards.hearthpwn.com/enUS/CFM_020.png?142295," Battlecry: If your deck has no duplicates, your Hero Power costs (0) this game.",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,minion,1,0,0, priest,legendary,mean streets of gadgetzan,,0,0,0,0,0,0,0,0,0,{Battlecry:},True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,5,5
196,Blood Imp,https://cards.hearthpwn.com/enUS/CS2_059.png?142295," Stealth. At the end of your turn, give another random friendly minion +1 Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,minion,1,0,0, warlock,common,legacy,demon,1,0,0,0,0,0,0,0,0,{Stealth},False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,0,1
22382,Mogor's Champion,https://cards.hearthpwn.com/enUS/AT_088.png?142295,50% chance to attack the wrong enemy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minion,1,0,0,,rare,the grand tournament,,0,0,0,0,0,0,0,0,0,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,8,5
12211,Ogre Warmaul,https://cards.hearthpwn.com/enUS/GVG_054.png?142295,50% chance to attack the wrong enemy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weapon,0,0,1, warrior,common,goblins vs gnomes,,0,0,0,0,0,0,0,0,0,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,4,2
12281,Ogre Brute,https://cards.hearthpwn.com/enUS/GVG_065.png?142295,50% chance to attack the wrong enemy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minion,1,0,0,,common,goblins vs gnomes,,0,0,0,0,0,0,0,0,0,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,4,4
55566,Adaptation,https://cards.hearthpwn.com/enUS/UNG_961.png?142295,Adapt a friendly minion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ability,0,1,0, paladin,common,journey to un'goro,,0,0,0,0,0,0,0,0,0,{Adapt},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0
55513,Evolving Spores,https://cards.hearthpwn.com/enUS/UNG_103.png?142295,Adapt your minions.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ability,0,1,0, druid,rare,journey to un'goro,,0,0,0,0,0,0,0,0,0,{Adapt},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,0,0
76897,Lesser Ruby Spellstone,https://cards.hearthpwn.com/enUS/LOOT_103.png?142295,Add 1 random Mage spell to your hand. @(Play 2 Elementals to upgrade.),,,,,,1,,,,,,,,,,,,,,,,,,,,,,,ability,0,1,0, mage,rare,kobolds and catacombs,,0,0,0,0,0,0,0,0,0,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,0,0
22321,Burgle,https://cards.hearthpwn.com/enUS/AT_033.png?142295,Add 2 random cards to your hand (from your opponent's class).,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,ability,0,1,0, rogue,rare,the grand tournament,,0,0,0,0,0,0,0,0,0,{},False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,0,0
89920,Violet Haze,https://cards.hearthpwn.com/enUS/BOT_084.png?142295,Add 2 random Deathrattle cards to your hand.,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,ability,0,1,0, rogue,common,the boomsday project,,0,0,0,0,0,0,0,0,0,{Deathrattle},False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,0,0
